trial_number,lags,params,mean_absolute_error,n_estimators,max_depth,learning_rate,reg_alpha,reg_lambda
8,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.16546988609195726, 'reg_alpha': 0.4148262119536318, 'reg_lambda': 0.8663091578833659}",819.8981040714208,700.0,3.0,0.16546988609195726,0.4148262119536318,0.8663091578833659
17,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.1646180235374184, 'reg_alpha': 0.04083992348084964, 'reg_lambda': 0.005621927389591015}",822.6332464921819,400.0,3.0,0.1646180235374184,0.04083992348084964,0.005621927389591015
14,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.06173371141089393, 'reg_alpha': 0.30197324759604, 'reg_lambda': 0.009665314221062593}",826.8007194242404,300.0,3.0,0.06173371141089393,0.30197324759604,0.009665314221062593
25,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.088702934179697, 'reg_alpha': 0.09541565997358217, 'reg_lambda': 0.28030382345759614}",827.3650356725441,700.0,3.0,0.088702934179697,0.09541565997358217,0.28030382345759614
15,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.189116301947962, 'reg_alpha': 0.6619415556239219, 'reg_lambda': 0.028796216642845124}",836.3149442726768,400.0,4.0,0.189116301947962,0.6619415556239219,0.028796216642845124
13,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.07744056876365221, 'reg_alpha': 0.2994997621599389, 'reg_lambda': 0.19140978196156827}",837.5180793738303,400.0,3.0,0.07744056876365221,0.2994997621599389,0.19140978196156827
28,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.19170657103821298, 'reg_alpha': 0.3003740776335753, 'reg_lambda': 0.770893804389664}",840.2733647985293,800.0,3.0,0.19170657103821298,0.3003740776335753,0.770893804389664
21,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.13250510953543948, 'reg_alpha': 0.07427801305447969, 'reg_lambda': 0.021063275550620878}",840.5265090482518,400.0,3.0,0.13250510953543948,0.07427801305447969,0.021063275550620878
22,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.047843630375919516, 'reg_alpha': 0.34655538862508134, 'reg_lambda': 0.04243420319345761}",843.2148768006161,300.0,3.0,0.047843630375919516,0.34655538862508134,0.04243420319345761
11,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.11258011551034583, 'reg_alpha': 0.19892555138832857, 'reg_lambda': 0.6270900216243434}",844.3568766633093,400.0,3.0,0.11258011551034583,0.19892555138832857,0.6270900216243434
5,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.12184898313068825, 'reg_alpha': 0.29371404638882936, 'reg_lambda': 0.6309761238544878}",848.255052613719,500.0,5.0,0.12184898313068825,0.29371404638882936,0.6309761238544878
3,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.09597136051227133, 'reg_alpha': 0.5315513738418384, 'reg_lambda': 0.5318275870968661}",849.2573633906062,800.0,4.0,0.09597136051227133,0.5315513738418384,0.5318275870968661
29,[  1   2   3  20  21  22  23  24  25  26  27  28  29 146 167 170],"{'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.05906546735670906, 'reg_alpha': 0.9032399381149858, 'reg_lambda': 0.952138910468826}",850.5463562673766,800.0,5.0,0.05906546735670906,0.9032399381149858,0.952138910468826
